channel,ols_coef,ridge_coef
const,5.172867054136262,0.0
consumer_promo_spends_mn_ad,0.0054996418589632,0.0122514121702808
dist_index,0.637912724181751,0.5498542242101211
fb_ig_spends_mn_ad,0.0357668150275203,0.0300480821013543
google_display_spends_mn_ad,-0.1211955289504747,-0.049419318315158
hotstar_spends_mn_ad,0.0934966218899042,0.0806114247878424
jio_spends_mn_ad,-0.0337289519936785,-0.0391234525727704
newspaper_spends_mn_ad,0.0205661733123466,0.0251683091870523
trade_promo_spends_mn_ad,0.0084023660658093,0.0115012468985965
tv_total_spends_mn_ad,0.0004276640558446,-8.009249736180744e-05
ventes_avenue_spends_mn_ad,0.0683847239033266,0.0492195706971429
whatsapp_spends_mn_ad,0.2348714410944223,0.1658491974549016
youtube_spends_mn_ad,-0.0384295108003478,-0.0419549658333427
