mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.0037990093231201174,0.0007260606425228385,0.0018749713897705078,0.0009378309095832372,0.0001,{'alpha': 0.0001},-0.15255487824780958,-2.2997577056540264,-0.09584452686700719,-0.050959975555966854,-0.011055505503105802,-0.5220345183655832,0.8901082653708252,50,-6.069767510822339e-07,-0.0025918404757213362,-0.011322653822467737,-0.011090632458676534,-0.01160703682244999,-0.0073225541112133365,0.004990923072466139
0.004749488830566406,0.004290728160566857,0.0017842292785644532,0.0006269657902324038,0.00014563484775012445,{'alpha': 0.00014563484775012445},-0.14728692517599506,-2.094370962857409,-0.09572194180300955,-0.050953867338083936,-0.01105530307725578,-0.4798778000503507,0.8085234517251337,49,-1.1997292924844496e-06,-0.0025965750678590355,-0.01132266261096876,-0.011090632943431452,-0.011607037025020712,-0.00732362147531449,0.00498985334738203
0.002316904067993164,0.0008286637887331991,0.0010746955871582032,0.0003387940794016629,0.00021209508879201905,{'alpha': 0.00021209508879201905},-0.14045189915561074,-1.8521633738771128,-0.09554376103484548,-0.05094497457264442,-0.011055008368596929,-0.43003180340176195,0.7123826715663891,48,-2.3060443490781514e-06,-0.002604689776675518,-0.011322681217222352,-0.011090633971110748,-0.011607037454494448,-0.00732546969277043,0.004987995055131884
0.0017264842987060546,0.0007689224520789243,0.0010051250457763672,0.00031306113116264607,0.00030888435964774815,{'alpha': 0.00030888435964774815},-0.13196212876996954,-1.5837659428516426,-0.09528499882137655,-0.05093202981313686,-0.011054579369576979,-0.3745999359251405,0.6059535479848224,47,-4.272502342302816e-06,-0.002617811642292185,-0.01132272057638241,-0.01109063614934309,-0.011607038364866738,-0.0073284958470453436,0.00498494233064797
0.0019421100616455079,0.0005806451851365039,0.0008374691009521484,0.0007149776649354911,0.0004498432668969444,{'alpha': 0.0004498432668969444},-0.12198798175340278,-1.306113911038875,-0.09490969421180692,-0.05091319087923736,-0.011053955021494423,-0.3169957465809633,0.4960050992745791,46,-7.554944125359799e-06,-0.0026378051169656386,-0.011322803736346853,-0.011090640764875643,-0.011607040294117804,-0.007333168971286259,0.004980217234653904
0.0015837669372558594,0.0004987835517984579,0.000628805160522461,0.0005834213527814914,0.0006551285568595509,{'alpha': 0.0006551285568595509},-0.11103813286921185,-1.0385101656299975,-0.09436637111732277,-0.05088578266272132,-0.011053046655085533,-0.2611706997868678,0.39023036879451706,45,-1.2625119343011998e-05,-0.002666697681611899,-0.0113229791371893,-0.011090650540675484,-0.011607044381027318,-0.007339999371969402,0.00497331573974434
0.001315164566040039,0.00037594448783379264,0.0011430740356445312,0.00020155183004361293,0.0009540954763499944,{'alpha': 0.0009540954763499944},-0.09991826636719874,-0.7976217508493217,-0.09358193135151587,-0.050845925640827905,-0.01105172567838184,-0.21060391997744915,0.2952555125658613,44,-1.9775844455580342e-05,-0.002706868204561482,-0.011323348168620179,-0.011090671233116155,-0.01160705303398492,-0.0073495432969476636,0.004963738016353218
0.0018098831176757812,0.000665500601521061,0.0009287834167480469,0.0004996603776113506,0.0013894954943731374,{'alpha': 0.0013894954943731374},-0.0895303481245693,-0.5941719767881991,-0.09245379012276288,-0.05078800438617179,-0.011049805976260962,-0.1675987850795928,0.21534088341261712,43,-2.8896544038591594e-05,-0.0027616433246290097,-0.011324121794255867,-0.011090714993330888,-0.01160707133993252,-0.007362489599237377,0.00495096034993315
0.0015603065490722655,0.0004921088983990212,0.0010694503784179688,0.0006868842590686082,0.0020235896477251557,{'alpha': 0.0020235896477251557},-0.08059447366610994,-0.43230497360920433,-0.09084048390410122,-0.050703913452112614,-0.011047018993724412,-0.1330981727250505,0.15215279061717768,42,-3.937997801376993e-05,-0.002836466332116254,-0.011325735243640486,-0.011090807416971528,-0.01160711002360942,-0.007379899798870292,0.004934283694694372
0.0015038013458251952,0.0003537088751983745,0.0006855010986328125,0.0005709892598722023,0.0029470517025518097,{'alpha': 0.0029470517025518097},-0.07345783744349012,-0.3105332031098195,-0.08855201076012087,-0.050582000528823355,-0.011042979010205886,-0.10683360617049195,0.1051492005211053,41,-5.027481149715849e-05,-0.002941229085358111,-0.011329075536683844,-0.01109100225698947,-0.011607191636464788,-0.007403754665398675,0.004912445859818027
