channel,total_contribution_kpi_mn,total_spend_mn,roi_kpi_per_mn_spend
tv_total_spends_mn_ad,-44.56582433532634,784.9141213576922,-0.0567779622288351
newspaper_spends_mn_ad,167.11379984421853,82.97033,2.014139269353497
google_display_spends_mn_ad,-11.773547422686676,0.5222,-22.546050215792178
youtube_spends_mn_ad,-463.1908744437467,68.5238,-6.759561998075803
fb_ig_spends_mn_ad,108.99475233274327,21.7568,5.009686733928854
whatsapp_spends_mn_ad,42.138973520825175,1.33,31.683438737462534
jio_spends_mn_ad,-48.078146800700466,6.659,-7.220025048911318
hotstar_spends_mn_ad,134.8426456390609,7.652800000000001,17.62004046088502
ventes_avenue_spends_mn_ad,10.047171671457733,0.912,11.016635604668567
trade_promo_spends_mn_ad,1913.2322639716244,415.05070932,4.6096349699201244
consumer_promo_spends_mn_ad,301.9344173230897,242.30332557097904,1.246101004233401
